event,date,doi,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub suggested,23:1:9,10.1145/3442188.3445899,13,4,
Pub suggested,23:1:9,10.24963/ijcai.2021/609,13,5,
Pub suggested,23:1:9,10.1080/01621459.2019.1604370,13,6,
Pub suggested,23:1:9,10.1109/tnnls.2015.2436432,13,7,
Pub suggested,23:1:9,10.1007/978-3-319-23528-8_16,13,8,
Pub suggested,23:1:9,10.1109/icste.2010.5608801,13,9,
Pub suggested,23:1:9,10.1016/j.patrec.2006.06.006,13,10,
Pub suggested,23:1:9,10.1007/978-3-031-15509-3_51,13,11,
Pub suggested,23:1:9,10.3390/e24010042,13,12,
Pub suggested,23:1:9,10.1016/j.artint.2018.07.007,13,13,
Pub suggested,23:1:9,10.1111/stan.12130,13,14,
Pub suggested,23:1:9,10.1109/ijcnn.2014.6889890,13,15,
Pub suggested,23:1:9,10.1145/2133360.2133361,13,16,
Pub suggested,23:1:9,10.1016/j.jspi.2012.06.004,13,17,
