event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub added,13:52:4,10.1109/tvcg.2010.79,,,,,
Pub excluded,13:58:19,10.1145/3105971.3105976,Map-like visualisations vs. treemaps:  an experimental comparison,Biuk-Aghai et al.,24,5,suggested
Pub deactivated,13:58:21,10.1109/pacificvis48177.2020.7614,Uncertainty Treemaps,Sondag et al.,24,19,
Pub added,13:58:21,10.1109/tvcg.2012.108,,,,,
Pub added,13:58:21,10.1109/infvis.2001.963283,,,,,
Pub added,13:58:21,10.1109/infvis.2005.1532128,,,,,
Pub added,13:58:21,10.1111/cgf.13989,,,,,
Pub added,13:58:21,10.1109/tvcg.2017.2743959,,,,,
Pub added,13:58:21,10.1109/tvcg.2008.165,,,,,
Pub added,13:58:21,10.1109/tvcg.2017.2745140,,,,,
Pub added,13:58:21,10.1109/tvcg.2022.3209450,,,,,
Pub added,13:58:21,10.1109/isvd.2010.16,,,,,
Pub added,13:58:21,10.1109/tvcg.2007.70540,,,,,
Pub added,13:58:21,10.28925/2311-259x.2022.3.8,,,,,
Pub added,13:58:21,10.1007/s12650-022-00874-3,,,,,
Pub added,13:58:21,10.1145/3430036.3430054,,,,,
Pub added,13:58:21,10.1109/pacificvis48177.2020.7614,,,,,
Pub suggested,13:58:25,10.1109/tvcg.2010.186,Perceptual Guidelines for Creating Rectangular Treemaps,Kong et al.,38,1,
