event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub suggested,13:13:59,10.1145/1357054.1357335,Activity sensing in the wild:  a field trial of ubifit garden,Consolvo et al.,4,34,
Pub suggested,13:13:59,10.1109/mcg.2003.1231171,A Next Step: Visualizing Errors and Uncertainty,Johnson and Sanderson,4,35,
Pub suggested,13:13:59,10.1145/3544549.3585785,Tracking the Experience of Self in Everyday Life,Hoefer and Voida,4,36,
Pub suggested,13:13:59,10.1145/3544548.3581204,Data_ Data_ Everywhere: Uncovering Everyday Data Experiences for People with Intellectual and Developmental Disabilities,Wu et al.,4,37,
Pub suggested,13:13:59,10.1145/3565066.3608700,Towards Efficient Interaction for Personal Health Data Queries on Smartwatches,Rey et al.,4,38,
Pub suggested,13:13:59,10.3389/fspor.2022.882516,Identifying the Current State and Improvement Opportunities in the Information Flows Necessary to Manage Professional Athletes: a Case Study in Rugby Union,Ranaweera et al.,4,39,
Pub suggested,13:13:59,10.54097/hset.v24i.3885,NBA Game Analysis based on Big Data,Wang,4,40,
Pub suggested,13:13:59,10.1080/17461391.2020.1747552,Unlocking the potential of big data to support tactical performance analysis in professional soccer: a systematic review,Goes et al.,4,41,
Pub suggested,13:13:59,10.1145/3355047.3359391,Immersive analytics,Engelke et al.,4,42,
Pub suggested,13:13:59,10.1007/978-3-030-29384-0_35,Benefits and Trade-Offs of Different Model Representations in Decision Support Systems for Non-expert Users,Gutiérrez et al.,4,43,
Pub suggested,13:13:59,10.1145/3027063.3053082,Attention_ Comprehension_ Execution:  Effects of Different Designs of Biofeedback Display,Sun et al.,4,44,
Pub suggested,13:13:59,10.1080/24748668.2016.11868885,Analysis of errors made by line umpires on ATP tournaments,Carboch et al.,4,45,
Pub suggested,13:13:59,10.1145/2470654.2481324,Carpé data:  supporting serendipitous data integration in personal information management,Van Kleek et al.,4,46,
Pub suggested,13:13:59,10.1145/2317956.2317980,People_ content_ location:  sweet spotting urban screens for situated engagement,Schroeter et al.,4,47,
Pub suggested,13:13:59,10.1145/1753326.1753423,Who's hogging the bandwidth:  the consequences of revealing the invisible in the home,Chetty et al.,4,48,
Pub suggested,13:13:59,10.1145/1690388.1690420,ISee:  interactive scenario explorer for online tournament games,Smith et al.,4,49,
Pub suggested,13:13:59,10.1145/1357054.1357131,MAHI:  investigation of social scaffolding for reflective thinking in diabetes management,Mamykina et al.,4,50,
Pub excluded,13:14:11,10.1109/mcg.2020.2968244,Reaching Broader Audiences with Data Visualization,Lee et al.,4,1,suggested
Pub excluded,13:14:19,10.1080/23729333.2023.2189431,Cartography &amp; geovisual analytics in personal contexts: designing for the data creator,Nelson,4,2,suggested
Clicked doi,13:14:34,10.1016/j.ijcci.2023.100565,Tangible data visualization of physical activity for children and adolescents: a qualitative study of temporal transition of experiences,Eslambolchilar et al.,4,3,suggested
Pub qd for selected,13:15:16,10.1016/j.ijcci.2023.100565,Tangible data visualization of physical activity for children and adolescents: a qualitative study of temporal transition of experiences,Eslambolchilar et al.,4,3,suggested
Pub deactivated,13:15:43,10.1016/j.ijcci.2023.100565,Tangible data visualization of physical activity for children and adolescents: a qualitative study of temporal transition of experiences,Eslambolchilar et al.,4,3,
Pub activated,13:15:43,10.1145/3393914.3395875,An Analytical Visualization of Local Running Activity on a Public Display,Coenen and Vande Moere,4,7,suggested
Clicked doi,13:15:45,10.1145/3393914.3395875,An Analytical Visualization of Local Running Activity on a Public Display,Coenen and Vande Moere,4,7,suggested
Pub qd for selected,13:16:40,10.1145/3393914.3395875,An Analytical Visualization of Local Running Activity on a Public Display,Coenen and Vande Moere,4,7,suggested
Pub deactivated,13:16:54,10.1145/3393914.3395875,An Analytical Visualization of Local Running Activity on a Public Display,Coenen and Vande Moere,4,7,
Pub activated,13:16:54,10.14236/ewic/hci2018.17,A Taxonomy for Visualisations of Personal Physical Activity Data on Self-Tracking Devices and their Applications,Alrehiely et al.,4,10,suggested
Clicked doi,13:16:58,10.14236/ewic/hci2018.17,A Taxonomy for Visualisations of Personal Physical Activity Data on Self-Tracking Devices and their Applications,Alrehiely et al.,4,10,suggested
Pub deactivated,13:17:11,10.14236/ewic/hci2018.17,A Taxonomy for Visualisations of Personal Physical Activity Data on Self-Tracking Devices and their Applications,Alrehiely et al.,4,10,
Pub activated,13:17:11,10.1109/mcg.2017.23,Expanding Research Methods for a Realistic Understanding of Personal Visualization,Thudt et al.,4,12,suggested
Pub deactivated,13:17:11,10.1109/mcg.2017.23,Expanding Research Methods for a Realistic Understanding of Personal Visualization,Thudt et al.,4,12,
Clicked doi,13:17:15,10.1109/mcg.2017.23,Expanding Research Methods for a Realistic Understanding of Personal Visualization,Thudt et al.,4,12,suggested
Pub qd for selected,13:18:16,10.14236/ewic/hci2018.17,A Taxonomy for Visualisations of Personal Physical Activity Data on Self-Tracking Devices and their Applications,Alrehiely et al.,4,10,suggested
Pub deactivated,13:18:17,10.1109/mcg.2017.23,Expanding Research Methods for a Realistic Understanding of Personal Visualization,Thudt et al.,4,12,
Pub activated,13:18:17,10.14236/ewic/hci2018.17,A Taxonomy for Visualisations of Personal Physical Activity Data on Self-Tracking Devices and their Applications,Alrehiely et al.,4,10,suggested
Pub deactivated,13:18:50,10.14236/ewic/hci2018.17,A Taxonomy for Visualisations of Personal Physical Activity Data on Self-Tracking Devices and their Applications,Alrehiely et al.,4,10,
Pub added,13:18:50,10.1016/j.ijcci.2023.100565,,,,,
Pub added,13:18:50,10.1145/3393914.3395875,,,,,
Pub added,13:18:50,10.14236/ewic/hci2018.17,,,,,
